#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
101,What's Up Danger (with Black Caviar),Blackway,12/14/18,95,76,70,-6,12,3:42,0,71,1420,0
103,Way Up,Jaden,12/14/18,130,94,59,-3,45,2:34,3,64,8233,0
104,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,12/14/18,112,88,77,-5,67,2:55,2,67,9472,0
106,Start a Riot,Duckwrth,12/14/18,143,73,73,-4,89,2:51,1,67,9001,0
109,Save The Day (feat. Coi Leray & LouGotCash),Ski Mask The Slump God,12/14/18,140,75,87,-8,79,2:59,0,60,6166,0
111,Scared of the Dark (feat. XXXTENTACION),Lil Wayne,12/14/18,79,62,44,-7,16,3:53,5,73,2672,0
155,Something For Your M.I.N.D.,Superorganism,3/2/18,140,54,70,-4,66,2:45,13,69,2264,0
290,Friday,Rebecca Black,3/14/11,112,89,68,-5,58,3:30,3,51,6503,0
290,Spirit in the Sky,Norman Greenbaum,6/1/05,128,64,60,-6,56,4:00,11,68,8443,0
22,March of Mephisto (feat. Shagrath),Kamelot,3/15/05,96,91,50,-7,22,5:29,0,47,1751,0
23,When the Lights Are Down,Kamelot,3/15/05,170,94,30,-6,37,3:41,0,52,1903,0
24,The Haunting (Somewhere in Time) [feat. Simone Simons],Kamelot,3/15/05,120,84,28,-7,29,5:40,0,49,6118,0
25,Soul Society,Kamelot,3/15/05,83,83,20,-7,16,4:18,1,41,7523,0
26,Center of the Universe,Kamelot,3/3/03,170,93,31,-4,23,5:27,4,42,6613,0
27,A Feast for the Vain,Kamelot,3/3/03,170,91,30,-8,36,3:57,0,29,7399,0
28,Anthem,Kamelot,6/4/07,53,38,22,-9,21,4:25,93,39,2595,0
29,Citizen Zero,Kamelot,5/4/15,92,94,52,-5,21,5:50,0,22,8854,0
30,Revolution,Kamelot,5/4/15,166,96,42,-6,25,4:49,0,20,8023,0
31,Forever,Kamelot,7/19/01,170,94,40,-5,32,4:06,0,44,1394,0
32,Karma,Kamelot,7/19/01,155,98,44,-6,29,5:11,0,40,4793,0
34,Rollin' (Air Raid Vehicle),Limp Bizkit,10/17/00,96,93,60,-3,71,3:34,1,72,3315,0
35,Break Stuff,Limp Bizkit,1999,109,88,43,-7,62,2:47,1,71,7668,0
37,The Fight Song,Marilyn Manson,11/11/00,130,98,47,-4,4,2:56,0,61,7299,0
13,The Book of Heavy Metal (March of the Metallians),Dream Evil,7/13/04,154,94,39,-4,37,5:26,0,51,6284,0
